Areaname,commaloc,Admin2,StateAbrev,State
"Autauga, AL",8,Autauga,AL,Alabama
"Baldwin, AL",8,Baldwin,AL,Alabama
"Barbour, AL",8,Barbour,AL,Alabama
"Bibb, AL",5,Bibb,AL,Alabama
"Blount, AL",7,Blount,AL,Alabama
"Bullock, AL",8,Bullock,AL,Alabama
"Butler, AL",7,Butler,AL,Alabama
"Calhoun, AL",8,Calhoun,AL,Alabama
"Chambers, AL",9,Chambers,AL,Alabama
"Cherokee, AL",9,Cherokee,AL,Alabama
"Chilton, AL",8,Chilton,AL,Alabama
"Choctaw, AL",8,Choctaw,AL,Alabama
"Clarke, AL",7,Clarke,AL,Alabama
"Clay, AL",5,Clay,AL,Alabama
"Cleburne, AL",9,Cleburne,AL,Alabama
"Coffee, AL",7,Coffee,AL,Alabama
"Colbert, AL",8,Colbert,AL,Alabama
"Conecuh, AL",8,Conecuh,AL,Alabama
"Coosa, AL",6,Coosa,AL,Alabama
"Covington, AL",10,Covington,AL,Alabama
"Crenshaw, AL",9,Crenshaw,AL,Alabama
"Cullman, AL",8,Cullman,AL,Alabama
"Dale, AL",5,Dale,AL,Alabama
"Dallas, AL",7,Dallas,AL,Alabama
"DeKalb, AL",7,DeKalb,AL,Alabama
"Elmore, AL",7,Elmore,AL,Alabama
"Escambia, AL",9,Escambia,AL,Alabama
"Etowah, AL",7,Etowah,AL,Alabama
"Fayette, AL",8,Fayette,AL,Alabama
"Franklin, AL",9,Franklin,AL,Alabama
"Geneva, AL",7,Geneva,AL,Alabama
"Greene, AL",7,Greene,AL,Alabama
"Hale, AL",5,Hale,AL,Alabama
"Henry, AL",6,Henry,AL,Alabama
"Houston, AL",8,Houston,AL,Alabama
"Jackson, AL",8,Jackson,AL,Alabama
"Jefferson, AL",10,Jefferson,AL,Alabama
"Lamar, AL",6,Lamar,AL,Alabama
"Lauderdale, AL",11,Lauderdale,AL,Alabama
"Lawrence, AL",9,Lawrence,AL,Alabama
"Lee, AL",4,Lee,AL,Alabama
"Limestone, AL",10,Limestone,AL,Alabama
"Lowndes, AL",8,Lowndes,AL,Alabama
"Macon, AL",6,Macon,AL,Alabama
"Madison, AL",8,Madison,AL,Alabama
"Marengo, AL",8,Marengo,AL,Alabama
"Marion, AL",7,Marion,AL,Alabama
"Marshall, AL",9,Marshall,AL,Alabama
"Mobile, AL",7,Mobile,AL,Alabama
"Monroe, AL",7,Monroe,AL,Alabama
"Montgomery, AL",11,Montgomery,AL,Alabama
"Morgan, AL",7,Morgan,AL,Alabama
"Perry, AL",6,Perry,AL,Alabama
"Pickens, AL",8,Pickens,AL,Alabama
"Pike, AL",5,Pike,AL,Alabama
"Randolph, AL",9,Randolph,AL,Alabama
"Russell, AL",8,Russell,AL,Alabama
"Shelby, AL",7,Shelby,AL,Alabama
"St. Clair, AL",10,St. Clair,AL,Alabama
"Sumter, AL",7,Sumter,AL,Alabama
"Talladega, AL",10,Talladega,AL,Alabama
"Tallapoosa, AL",11,Tallapoosa,AL,Alabama
"Tuscaloosa, AL",11,Tuscaloosa,AL,Alabama
"Walker, AL",7,Walker,AL,Alabama
"Washington, AL",11,Washington,AL,Alabama
"Wilcox, AL",7,Wilcox,AL,Alabama
"Winston, AL",8,Winston,AL,Alabama
"Aleutians East, AK",15,Aleutians East,AK,Alaska
"Aleutians West, AK",15,Aleutians West,AK,Alaska
"Anchorage, AK",10,Anchorage,AK,Alaska
"Bethel, AK",7,Bethel,AK,Alaska
"Bristol Bay, AK",12,Bristol Bay,AK,Alaska
"Denali, AK",7,Denali,AK,Alaska
"Dillingham, AK",11,Dillingham,AK,Alaska
"Fairbanks North Star, AK",21,Fairbanks North Star,AK,Alaska
"Haines, AK",7,Haines,AK,Alaska
"Hoonah-Angoon, AK",14,Hoonah-Angoon,AK,Alaska
"Juneau, AK",7,Juneau,AK,Alaska
"Kenai Peninsula, AK",16,Kenai Peninsula,AK,Alaska
"Ketchikan Gateway, AK",18,Ketchikan Gateway,AK,Alaska
"Kodiak Island, AK",14,Kodiak Island,AK,Alaska
"Lake and Peninsula, AK",19,Lake and Peninsula,AK,Alaska
"Matanuska-Susitna, AK",18,Matanuska-Susitna,AK,Alaska
"Nome, AK",5,Nome,AK,Alaska
"North Slope, AK",12,North Slope,AK,Alaska
"Northwest Arctic, AK",17,Northwest Arctic,AK,Alaska
"Petersburg, AK",11,Petersburg,AK,Alaska
"Prince of Wales-Hyder, AK",22,Prince of Wales-Hyder,AK,Alaska
"Sitka, AK",6,Sitka,AK,Alaska
"Skagway, AK",8,Skagway,AK,Alaska
"Southeast Fairbanks, AK",20,Southeast Fairbanks,AK,Alaska
"Valdez-Cordova, AK",15,Valdez-Cordova,AK,Alaska
"Wade Hampton, AK",13,Wade Hampton,AK,Alaska
"Wrangell, AK",9,Wrangell,AK,Alaska
"Yakutat, AK",8,Yakutat,AK,Alaska
"Yukon-Koyukuk, AK",14,Yukon-Koyukuk,AK,Alaska
"Apache, AZ",7,Apache,AZ,Arizona
"Cochise, AZ",8,Cochise,AZ,Arizona
"Coconino, AZ",9,Coconino,AZ,Arizona
"Gila, AZ",5,Gila,AZ,Arizona
"Graham, AZ",7,Graham,AZ,Arizona
"Greenlee, AZ",9,Greenlee,AZ,Arizona
"La Paz, AZ",7,La Paz,AZ,Arizona
"Maricopa, AZ",9,Maricopa,AZ,Arizona
"Mohave, AZ",7,Mohave,AZ,Arizona
"Navajo, AZ",7,Navajo,AZ,Arizona
"Pima, AZ",5,Pima,AZ,Arizona
"Pinal, AZ",6,Pinal,AZ,Arizona
"Santa Cruz, AZ",11,Santa Cruz,AZ,Arizona
"Yavapai, AZ",8,Yavapai,AZ,Arizona
"Yuma, AZ",5,Yuma,AZ,Arizona
"Arkansas, AR",9,Arkansas,AR,Arkansas
"Ashley, AR",7,Ashley,AR,Arkansas
"Baxter, AR",7,Baxter,AR,Arkansas
"Benton, AR",7,Benton,AR,Arkansas
"Boone, AR",6,Boone,AR,Arkansas
"Bradley, AR",8,Bradley,AR,Arkansas
"Calhoun, AR",8,Calhoun,AR,Arkansas
"Carroll, AR",8,Carroll,AR,Arkansas
"Chicot, AR",7,Chicot,AR,Arkansas
"Clark, AR",6,Clark,AR,Arkansas
"Clay, AR",5,Clay,AR,Arkansas
"Cleburne, AR",9,Cleburne,AR,Arkansas
"Cleveland, AR",10,Cleveland,AR,Arkansas
"Columbia, AR",9,Columbia,AR,Arkansas
"Conway, AR",7,Conway,AR,Arkansas
"Craighead, AR",10,Craighead,AR,Arkansas
"Crawford, AR",9,Crawford,AR,Arkansas
"Crittenden, AR",11,Crittenden,AR,Arkansas
"Cross, AR",6,Cross,AR,Arkansas
"Dallas, AR",7,Dallas,AR,Arkansas
"Desha, AR",6,Desha,AR,Arkansas
"Drew, AR",5,Drew,AR,Arkansas
"Faulkner, AR",9,Faulkner,AR,Arkansas
"Franklin, AR",9,Franklin,AR,Arkansas
"Fulton, AR",7,Fulton,AR,Arkansas
"Garland, AR",8,Garland,AR,Arkansas
"Grant, AR",6,Grant,AR,Arkansas
"Greene, AR",7,Greene,AR,Arkansas
"Hempstead, AR",10,Hempstead,AR,Arkansas
"Hot Spring, AR",11,Hot Spring,AR,Arkansas
"Howard, AR",7,Howard,AR,Arkansas
"Independence, AR",13,Independence,AR,Arkansas
"Izard, AR",6,Izard,AR,Arkansas
"Jackson, AR",8,Jackson,AR,Arkansas
"Jefferson, AR",10,Jefferson,AR,Arkansas
"Johnson, AR",8,Johnson,AR,Arkansas
"Lafayette, AR",10,Lafayette,AR,Arkansas
"Lawrence, AR",9,Lawrence,AR,Arkansas
"Lee, AR",4,Lee,AR,Arkansas
"Lincoln, AR",8,Lincoln,AR,Arkansas
"Little River, AR",13,Little River,AR,Arkansas
"Logan, AR",6,Logan,AR,Arkansas
"Lonoke, AR",7,Lonoke,AR,Arkansas
"Madison, AR",8,Madison,AR,Arkansas
"Marion, AR",7,Marion,AR,Arkansas
"Miller, AR",7,Miller,AR,Arkansas
"Mississippi, AR",12,Mississippi,AR,Arkansas
"Monroe, AR",7,Monroe,AR,Arkansas
"Montgomery, AR",11,Montgomery,AR,Arkansas
"Nevada, AR",7,Nevada,AR,Arkansas
